#Cloud,Name,Av,alpha,T_bol,L_bol,alphaPrime,TbolPrime,LbolPrime,likelyAGB,RA,DEC,Class
Ophiuchus,J162948.3-233103,1.7,-1.5,1800.0,0.0097,-1.65,1900.0,0.012,N,247.45125000000002,-23.5175,III
Ophiuchus,J162954.5-245846,0.0,-2.4,2200.0,0.79,-2.48,2200.0,0.79,N,247.47708333333333,-24.979444444444443,III
Ophiuchus,J163002.2-242007,4.4,-2.4,1900.0,0.94,-2.56,2000.0,1.7,N,247.50916666666666,-24.335277777777776,III
Ophiuchus,J163019.7-240256,5.4,-1.9,1700.0,0.013,-1.92,2000.0,0.025,N,247.58208333333334,-24.04888888888889,III
Ophiuchus,J163020.0-233108,2.7,-1.8,1900.0,0.053,-1.94,2000.0,0.076,N,247.58333333333331,-23.51888888888889,III
Ophiuchus,J163023.3-245416,4.2,-0.6,1300.0,0.14,-0.97,1600.0,0.22,N,247.59708333333336,-24.904444444444444,II
Ophiuchus,J163026.7-235908,1.9,-0.8,1600.0,0.017,-0.99,1700.0,0.021,N,247.61124999999998,-23.985555555555557,II
Ophiuchus,J163033.9-242806,2.5,-1.3,1800.0,0.042,-1.46,1900.0,0.057,N,247.64124999999999,-24.46833333333333,II
Ophiuchus,J163041.4-241320,9.8,-0.2,1600.0,0.0018,-0.72,2300.0,0.0074,N,247.6725,-24.22222222222222,II
Ophiuchus,J163053.4-242453,2.4,-1.1,1700.0,0.023,-1.33,1800.0,0.031,N,247.72250000000003,-24.41472222222222,II
Ophiuchus,J163102.3-240843,2.0,-1.5,1700.0,0.03,-1.56,1800.0,0.039,N,247.75958333333332,-24.14527777777778,II
Ophiuchus,J163105.1-240440,3.8,-1.2,1700.0,0.22,-1.45,1800.0,0.34,N,247.77125,-24.07777777777778,II
Ophiuchus,J163115.7-243402,2.3,-1.1,1700.0,0.83,-1.29,1800.0,1.1,N,247.81541666666666,-24.56722222222222,II
Ophiuchus,J163129.2-240431,9.8,-0.2,750.0,0.025,-0.23,990.0,0.046,N,247.87166666666667,-24.075277777777778,Flat
Ophiuchus,J163130.8-242439,11.3,-0.6,990.0,0.59,-0.93,1500.0,1.5,N,247.87833333333333,-24.410833333333333,II
Ophiuchus,J163131.2-242627,1.8,-0.4,750.0,0.014,-0.63,870.0,0.015,N,247.88000000000002,-24.440833333333334,II
Ophiuchus,J163133.4-242737,4.4,-0.6,1200.0,0.75,-0.85,1500.0,1.1,N,247.88916666666665,-24.460277777777776,II
Ophiuchus,J163133.8-240446,9.8,0.1,770.0,0.12,-0.53,1300.0,0.24,N,247.89083333333335,-24.079444444444444,II
Ophiuchus,J163134.0-240059,20.4,-0.3,860.0,0.0033,-0.83,1300.0,0.013,N,247.89166666666668,-24.01638888888889,II
Ophiuchus,J163134.2-240325,9.8,-0.1,750.0,0.21,-0.04,880.0,0.37,N,247.8925,-24.056944444444444,Flat
Ophiuchus,J163135.6-240129,9.8,0.1,270.0,1.6,0.13,390.0,2.0,Y,247.89833333333334,-24.02472222222222,Flat
Ophiuchus,J163136.7-240419,9.8,-0.3,74.0,0.17,-0.21,160.0,0.19,Y,247.90291666666664,-24.071944444444444,Flat
Ophiuchus,J163143.7-245524,9.8,0.2,520.0,0.26,0.18,690.0,0.4,Y,247.93208333333334,-24.923333333333336,Flat
Ophiuchus,J163144.5-240213,14.1,-0.5,970.0,0.1,-1.11,1600.0,0.35,N,247.93541666666667,-24.036944444444448,II
Ophiuchus,J163145.3-244307,5.0,-1.3,1600.0,0.054,-1.52,1800.0,0.098,N,247.93875000000003,-24.71861111111111,II
Ophiuchus,J163145.8-243909,6.7,-0.9,330.0,1.8,-1.17,340.0,2.5,N,247.94083333333333,-24.6525,II
Ophiuchus,J163148.9-245429,17.8,-0.8,1000.0,0.012,-1.24,1600.0,0.051,N,247.95374999999999,-24.908055555555553,II
Ophiuchus,J163152.0-245726,9.8,0.8,120.0,0.0082,0.61,150.0,0.0095,Y,247.96666666666664,-24.95722222222222,0+I
Ophiuchus,J163152.1-245615,9.8,-0.2,730.0,1.2,-0.51,990.0,2.1,N,247.96708333333333,-24.9375,II
Ophiuchus,J163152.4-245536,9.8,1.1,260.0,0.11,0.86,330.0,0.15,Y,247.96833333333333,-24.92666666666667,0+I
Ophiuchus,J163153.4-245505,23.8,-0.4,810.0,0.04,-0.96,1400.0,0.22,N,247.97250000000003,-24.918055555555558,II
